Outlet,Media Type,Type for Color,Address,Latitude,Longitude,City,Notes,State,Approximate Location,Audience: City/region,Audience,Contact,Contact type,URL
The Omaha Star,Newspaper (weekly),Newspaper,"2216 N 24th St, Omaha, NE 68110",41.2797937,-95.9472615,"Omaha, NE",,Nebraska,no,Omaha,African-American,,,https://theomahastar.com/
The Orlando Times,Newspaper (weekly),Newspaper,"4403 Vineland Rd, Orlando, FL 32811",28.4986237,-81.4312892,"Orlando, FL",,Florida,no,"Orlando, central Florida",African-American,"Calvin Collins, calvincollinsjr@aol.com",Publisher,https://www.orlando-times.com/index.html
The Philadelphia Observer,Newspaper (weekly),Newspaper,"600 Third Ave, New York, NY 10016",,,"New York, NY",,Pennsylvania,no,Philadelphia,African-American,,,http://philadelphiaobserver.com/
The Philadelphia Tribune,Newspaper (twice weekly),Newspaper,"520 S 16th St, Philadelphia, PA 19146",39.944517,-75.168866,"Philadelphia, PA",,Pennsylvania,no,Philadelphia,African-American,,,https://www.phillytrib.com/
The Plug,Digital,Digital,"Atlanta, GA",33.7724417,-84.3279093,"Atlanta, GA",,Georgia,yes,Nationwide,African-American,"Sherrell Dorsey, @sherrell_dorsey",Founder/editor,https://tpinsights.com/articles/
The Prince George's Post,Newspaper (weekly),Newspaper,"15207 Marlboro Pike # B, Upper Marlboro, MD 20772",38.8224236,-76.7417478,"Upper Marlboro, MD",,Maryland,no,Prince George's County,African-American,"Legusta Floyd, pgpost@gmail.com",Editor,http://www.pgpost.com/
The Providence American,Newspaper (weekly),Newspaper,"P.O. Box 5859, Providence, RI 02903",41.816736,-71.4091563,"Providence, RI",,Rhode Island,yes,Providence,African-American,,,http://theprovamnews.com/
The Real Deal Press,Digital,Digital,"Cleveland, OH",41.5233346,-81.5322149,"Cleveland, OH",,Ohio,yes,Cleveland,African-American,,,https://therealdealpress.com/
The Roanoke Tribune,Newspaper (weekly),Newspaper,"2318 Melrose Ave NW, Roanoke, VA 24017",37.2859714,-79.974675,"Roanoke, VA",,Virginia,no,Roanoke,African-American,,,https://theroanoketribune.org/
The Root,Digital,Digital,"605 3rd Avenue, 12th Floor, New York, NY 10158",40.7490074,-73.9751509,"New York, NY",,New York,no,Nationwide,African-American,"Genetta Adams, genetta.adams@theroot.com",Managing Editor,https://www.theroot.com
The San Antonio Observer,Newspaper (weekly),Newspaper,"P.O. Box 200226, San Antonio, TX 78220",29.4234701,-98.3950401,"San Antonio, TX",,Texas,yes,San Antonio,African-American,,,https://saobserver.com/
The San Bernardino American News,Newspaper (weekly),Newspaper,"P.O. Box 837, Victorville, CA 93293",34.5362184,-117.2927641,"Victorville, CA",,California,yes,San Bernardino/Inland Empire,African-American,"Mary Martin-Harris, Mary@SB-American.com",Editor,https://sb-american.com/
The Seattle Medium,Newspaper (weekly),Newspaper,"2600 S Jackson St, Seattle, WA 98144",47.59948433,-122.2984375,"Seattle, WA",,Washington,no,Seattle,African-American,,,https://seattlemedium.com/
The Skanner,Newspaper (weekly),Newspaper,"415 N Killingsworth St, Portland, OR 97217",45.5628722,-122.6705183,"Portland, OR",,Washington,no,Seattle,African-American,,,https://www.theskanner.com/
The Tennessee Tribune,Newspaper (weekly),Newspaper,"1501 Jefferson St, Nashville, TN 37208",36.170293,-86.8023201,"Nashville, TN",,Tennessee,no,Nashville,African-American,,,https://www.tntribune.com/
The Triangle Tribune,Newspaper (weekly),Newspaper,"115 Market Street Ste 360-G, Durham, NC 27701",35.9964972,-78.9023238,"Durham, NC",,North Carolina,no,Durham,African-American,"Gerald Johnson, publisher@thecharlottepost.com",Publisher,http://www.triangletribune.com/
The TRiiBE,Digital,Digital,"906 S. Homan Ave., Chicago IL 60624",41.8696588,-87.7109062,"Chicago, IL",,Illinois,no,Chicago,African-American,"Tiffany Walden, tiffany@thetriibe.com",Co-founder,https://thetriibe.com/
The Urban News,"Newspaper (monthly), Digital",Newspaper,"P.O. Box 2038, Asheville, NC 28802",35.59399,-82.5557497,"Asheville, NC",,North Carolina,yes,Asheville,Multicultural,"therovingreporter@theurbannews.com, 828-253-5585",,https://theurbannews.com/
The Urban Voice,Magazine (monthly),Magazine,"P.O. Box 270065, Las Vegas, NV 89127",36.18,-115.15,"Las Vegas, NV",,Nevada,yes,Las Vegas,African-American,"Joseph Abraham, joseph@unrelentingvoice.com",Owner,https://theurbanvoice.com/
The Villager,Newspaper (weekly),Newspaper,"4132 E 12th St, Austin, TX 78721",30.2792554,-97.6876249,"Austin, TX",,Texas,no,Austin,African-American,,,http://www.theaustinvillager.com/
The VOICE,Status unknown,Newspaper,"205 E Clay St, Richmond, VA 23219",37.545976,-77.4384734,"Richmond, VA",,Virginia,no,Richmond,African-American,,,http://www.voicenewspaper.com/
The Warrenist,Digital,Digital,"136 South Main Street, Suite D, Warrenton, NC 27589",36.3972295,-78.155352,"Warrenton, NC",,North Carolina,no,Warren County,General Market,,,https://warrenist.com
The Washington Informer,Newspaper (weekly),Newspaper,"3117 Martin Luther King Jr Ave SE, Washington, D.C. 20032",38.8434897,-76.9999348,"Washington, D.C.",,"Washington, D.C.",no,DC,African-American,,,https://www.washingtoninformer.com/
The Washington Sun,Newspaper (weekly),Newspaper,"830 Kennedy St NW # B2, Washington, D.C. 20011",38.9561125,-77.025258,"Washington, D.C.",,"Washington, D.C.",no,DC,African-American,,,https://twitter.com/thewashsun
The Weekly Challenger,Newspaper (weekly),Newspaper,"P.O. Box 35130, St. Petersburg, FL 33705",27.7529048,-82.6544634,"St. Petersburg, FL",,Florida,yes,St. Petersburg,African-American,"Lyn Johnson, advertising@theweeklychallenger.com",Editor,http://theweeklychallenger.com/
TheGrio,Online,Digital,"1330 Avenue of the Americas, 9th floor, New York, NY 10019",40.76199589,-73.97845993,"New York, NY",,Nationwide,no,Nationwide,African-American,"Shakirah Gittens, Shakirah.Gittens@thegrio.com, 718.687.6231",Operations assistant,https://thegrio.com
Toledo Journal,Newspaper (weekly),Newspaper,"2145 E, Scott Park Drive, Toledo, OH 43606",41.6423795,-83.5955085,"Toledo, OH",,Ohio,no,Toledo,African-American,,,https://thetoledojournal.com/
TransLash Media,"Podcast, Video (online), Digital",Radio/Podcast,"315 Gates Avenue, Brooklyn, NY 12216",40.68601858,-73.95505053,"New York, NY",,New York,no,National,"Trans, two-spirit, non-binary and gender non-conforming people & allies",Imara Jones,Creator & Producer,https://translash.org
Trapital,Newsletter,Digital,N/A,37.7598914,-122.4202604,,,Nationwide,yes,Nationwide,General,"info@trapital.co, (415) 234-3074",General inbox,https://trapital.co/
Travel Noire,Digital,Digital,"600 Wilshire Blvd, Los Angeles CA 90017",,,"Los Angeles, CA",,California,no,Nationwide,Millennials of the African Diaspora,,,https://travelnoire.com
Tré Magazine,Magazine,Magazine,"2603 Augusta Drive, Houston, TX 77057",29.7392595,-95.4814676,"Houston, TX",,Texas,no,Nationwide,Millennials and Affluent Affrican Americans audiences,"Stephanie Coleman, (347) 687-3624, info@thetremag.com",Editorial Director,https://www.thetremag.com/
Trenton Journal,Digital,Digital,"Trenton, NJ",40.23151428,-74.76407801,"Trenton, NJ",,New Jersey,yes,Trenton,General,"Kenneth Miles, hello@trentonjournal.com",Founder,https://www.trentonjournal.com/
Tri-State Defender,Newspaper (weekly),Newspaper,"203 Beale St #200, Memphis, TN 38103",35.1393338,-90.0514378,"Memphis, TN",,Tennessee,no,Memphis,African-American,,,https://tri-statedefender.com/
UnityFirst.com,Digital,Digital,"Springfield, MA",42.13573672,-72.53810375,"Springfield, MA",,Massachusetts,yes,National,"Corporations, Cross-cultural communities, Diverse consumers and Multicultural media","Janine & Tom Fondon, (413) 221-7931, jfondon@unityfirst.com",Publishers/Founders,https://unityfirst.com/
UNPOPCULTR,"Digital, Podcast",Digital,"New York, NY",40.719508,-73.9639022,"New York, NY",,Nationwide,yes,Nationwide,BIPOC,info@unpopcultr.co,General inbox,https://www.unpopcultr.co/
Urban Aging News,Newspaper (quarterly),Newspaper,"1905 Hyde Park, Detroit, MI 48207",42.34381424,-83.0326538,"Detroit, MI",,Michigan,no,Metro Detroit,Seniors,"Patricia Rencher, info@urbanagingnews.com, 313.204.5140",Publisher,https://www.urbanagingnews.com/
Urban American Outdoors,TV program,TV,"Kansas City, MO",39.28750649,-94.57739367,"Kansas City, MO",,Nationwide,yes,National,Outdoor Enthusiasts of Color,"Candice Price, 913-334-5177",Founder,https://uaotv.com
Urban One (WAMJ / WHTA / WPZE / WUMJ-HD2),Radio,Radio/Podcast,"101 Marietta St 12th Fl Atlanta, GA 30303",33.7568793,-84.3921525,"Atlanta, GA",,Georgia,no,Atlanta,African-American,,,https://majicatl.com
Urban One (WKYS / WMMJ / WOL / WYCB / WPRS),Radio,Radio/Podcast,"8515 Georgia Ave # 9, Silver Spring, MD 20910",38.9950868,-77.0267451,"Silver Spring, MD",,Maryland,no,Silver Spring,African-American,,,https://kysdc.com
Urban One (WQOK / WFXC / WFXK / WNNL),Radio,Radio/Podcast,"8001 Creedmoor Rd. Suite 101, Raleigh, NC 27613",35.8958101,-78.6812051,"Raleigh, NC",,North Carolina,no,Raleigh,African-American,,,https://hiphopnc.com
UrbanGeekz,Video (online),Digital,"Atlanta, GA",33.8598323,-84.5379455,"Atlanta, GA",,Nationwide,yes,Nationwide,Multicultural,info@urbangeekz.com,General inbox,https://urbangeekz.com/
Village Free Press,Newspaper,Newspaper,N/A,,,,,Illinois,NA,Proviso Township,Regional,"Michael Romain, michael@oakpark.com",Publisher,https://www.vfpress.news/
Vinegar Hill Magazine,"Magazine (quarterly), Podcast",Magazine,"Charlottesville, VA",38.0261423,-78.4879587,"Charlottesville, VA",,Virginia,yes,Charlottesville,African-American,"info@vinegarhillmagazine.com, (434) 466-5718",General inbox,https://www.vinegarhillmagazine.com/
WATV,Radio,Radio/Podcast,"3025 Ensley Avenue, Birmingham, AL 35208",33.4993092,-86.879796,"Birmingham, AL",,Alabama,no,Birmingham,African-American,"Courtney French, 205-780-2014",Owner,https://myv949.com/
WBCP,Radio,Radio/Podcast,"904 N. Fourth Street, Suite D, Champaign, IL 61820",40.12454,-88.233577,"Champaign, IL",,Illinois,no,Champaign,African-American,,,
WCCG,Radio,Radio/Podcast,"115 Gillespie Street, Fayetteville, NC 28301",35.0518184,-78.8782618,"Fayetteville, NC",,North Carolina,no,Fayetteville,African-American,,,https://wccg1045fm.com/
We Talk Weekly,Radio,Radio/Podcast,"Philadelphia, PA",40.03659397,-75.16335536,"Philadelphia, PA",,Pennsylvania,yes,Philadelphia,Black Entertainment News Enthusiasts,2157038554,,https://wetalkweekly.com/
Weekly Citizen,Newspaper (weekly),Newspaper,"8741 S Greenwood Ave, Suite 107, Chicago, IL 60619",41.735459,-87.5968041,"Chicago, IL",,Illinois,no,"Chicago, Hyde Park, South Suburban",African-American,(773) 783-1251,,https://citizennewspapergroup.com
Weekly Press,Newspaper (weekly),Newspaper,"1283 Rosenwald Rd, Baton Rouge, LA 70807",30.5317176,-91.1804901,"Baton Rouge, LA",,Louisiana,no,Baton Rouge,African-American,"Ivory Payne, ivory@brweekpress.com",Publisher,https://www.brweeklypress.com/
Westchester County Press,Newspaper (weekly),Newspaper,"P.O. Box 152, White Plains, NY 10602-4108",41.031153,-73.7670834,"White Plains, NY",,New York,yes,Westchester County,African-American,,,https://www.westchestercountypress.com/
Westside Gazette,Newspaper (weekly),Newspaper,"545 N.W. 7th Terrace, Fort Lauderdale, FL 33311",26.1291861,-80.1518858,"Fort Lauderdale, FL",,Florida,no,Fort Lauderdale,African-American,"Carma Henry, wgazette@thewestsidegazette.com",Editor,https://thewestsidegazette.com/
Westside Story Newspaper,Newspaper (weekly),Newspaper,"577 N D St #112h, San Bernardino, CA 92401",34.1097179,-117.2914462,"San Bernardino, CA",,California,no,San Bernardino,African-American,"WJ Allen, mail@westsidestorynewspaper.com",Publisher,https://www.westsidestorynewspaper.com/
WEUP,Radio,Radio/Podcast,"2609 Jordan Lane NW, Huntsville, AL 35816",34.7589939,-86.6426345,"Huntsville, AL",,Alabama,no,Huntsville,African-American,"Hundley Batts, hundley@103weup.com",Co-owner,http://pro-weup-am-flex.franklymedia.com/index.php
WFLM,Radio,Radio/Podcast,"6803 South Federal Hwy, White City, FL",27.3412281,-80.3260503,"White City, FL",,Florida,no,Vero Beach,African-American,,,http://www.1045theflame.com/wflm/
WGNL/WGNG,Radio,Radio/Podcast,"P.O. Box 1801, Greenwood, MS 38930",33.5726622,-90.1869644,"Greenwood, MS",,Mississippi,yes,Greenwood,African-American,,,https://www.104wgnl.com/
What's Up Kansas City,Digital,Digital,"1805 Vine St, Kansas City, MO 64108",39.0909218,-94.5630068,"Kansas City, MO",,Missouri,no,Kansas City,African-American,,,https://whatsupkansascity.net/
WhereItzAt,"Digital, Magazine",Magazine,"New York, NY",40.69405156,-73.73473214,"New York, NY",,New York,yes,New York City,Caribbean-American & Urban Audiences,"Clive Williams, (516) 690-9060",Publisher,https://gowhereitzat.com/
Whetstone Magazine,"Magazine, Podcast",Magazine,N/A,,,,,Nationwide,yes,Nationwide,Food Enthusiat,hello@whetstonemagazine.com,General inbox,https://www.whetstonemagazine.com/
WHPR,TV,TV,"160 Victor St., Highland Park, MI",42.4081302,-83.0919574,"Highland Park, MI",,Michigan,no,Detroit,African-American,,,https://www.fm881whpr.com/
WHUR,Radio,Radio/Podcast,"529 Bryant Street NW Washington, D.C. 20059",38.920407,-77.020125,"Washington, D.C.",,"Washington, D.C.",no,"Washington, D.C",African-American,,,http://whur.com/
WHUT-TV,TV,TV,"2222 4th Street, N. Washington, D.C. 20059",38.9208863,-77.0185558,"Washington, D.C.",,"Washington, D.C.",no,"Washington, D.C",African-American,,,https://www.whut.org/
Wilmington Journal,Newspaper (weekly),Newspaper,"416 S 7th St, Wilmington, NC 28401",34.230281,-77.940286,"Wilmington, NC",,North Carolina,no,Wilmington,African-American,wilmjourn@aol.com,General inbox,https://wilmingtonjournal.com/
Windy City Word,Newspaper (weekly),Newspaper,"5090 W Harrison St, Chicago, IL 60644",41.8731745,-87.7530369,"Chicago, IL",,Illinois,no,Chicago,African-American,info@windycityword.com,General inbox,http://windycityword.com/
Winston-Salem Chronicle,Newspaper (weekly),Newspaper,"1300 East Fifth Street Winston-Salem, NC 27101",36.1002264,-80.2297392,"Winston-Salem, NC",,North Carolina,no,Winston-Salem,African-American,"James Taylor Jr.,  jtaylorjr@wschronicle.com",Publisher,https://wschronicle.com/
WJZD,Radio,Radio/Podcast,"10211 Southpark Drive, Gulfport, MS 39503",30.4335063,-89.0363572,"Gulfport, MS",,Mississippi,no,Gulfport,African-American,,,https://www.wjzd.com/
WKNY/Radio Kingston,Radio,Radio/Podcast,"718 Broadway, Kingston, NY 12401",41.9318604,-74.0091088,"Kingston, NY",,New York,no,Ulster County,Multicultural,,,https://radiokingston.org/
WKWQ,Radio,Radio/Podcast,"69 Robert Smalls Pkwy #2T, Beaufort, SC 29902",32.4362115,-80.708339,"Beaufort, SC",,South Carolina,no,Lowcountry,African-American/Gullah,WKWQ@gullahradio.net,General inbox,https://www.gullahradio.net/
WMBM,Radio,Radio/Podcast,"13242 NW 7th Avenue, Miami, FL 33168",25.8959402,-80.2113917,"Miami, FL",,Florida,no,Miami,African-American,,,https://wmbm.com/
WNOV,Radio,Radio/Podcast,"2003 W. Capitol Drive, Milwaukee, WI 53206",43.08922458,-87.93731462,"Milwaukee, WI",,Wisconsin,no,Milwaukee,African-American,,,https://wnov860.com
Word in Black,Digital,Digital,"P.O. Box 450, Lake City, MI 49651-0450",44.3352872,-85.2150455,"Lake City, MI",,Nationwide,yes,Nationwide,African-American,"Andrew Rsmsammy, wib@localmedia.org",Chief Content Officer,https://wordinblack.com/
WOVU 95.9 FM,Radio,Radio/Podcast,"7201 Kinsman Road, Cleveland, OH 44104",41.4797897,-81.6376804,"Cleveland, OH",,Ohio,no,Northeast Ohio,African-American,"Jae Williams, jwilliams@bbcdevelopment.org, (216) 342-2963",General Manager,https://wovu.org/
WPUL,Radio,Radio/Podcast,"P.O. Box 48857, Tampa, FL 33646",29.2018698,-81.0247624,"Tampa, FL",,Florida,yes,Daytona Beach,African-American and Latino,"Julia T. Cherry, sales@daytonatimes.com",Senior managing member,http://cflradio.net/1590_WPUL_AM.htm
WRBJ,Radio,Radio/Podcast,"745 North State Street, Jackson, MS 39202",32.3081893,-90.1790219,"Jackson, MS",,Mississippi,no,Jackson,African-American,,,http://www.thebeatofthecapital.com/
WTAL,Radio,Radio/Podcast,"1363 E Tennessee St, Tallahassee, FL 32308",30.44805889,-84.26035011,"Tallahassee, FL",,Florida,no,Tallahassee,African-American,"RB Holmes, wtal1450@capitaloutlook.com",President,http://wtal1450.com/
WURD,Radio,Radio/Podcast,"1341 N Delaware Ave # 300, Philadelphia, PA 19125",39.9679255,-75.1278264,"Philadelphia, PA",,Pennsylvania,no,Philadelphia,African-American,,,https://wurdradio.com/
WVON,Radio,Radio/Podcast,"800 South Wells, Suite #130 and #170, Chicago, IL 60607",41.8718164,-87.6338022,"Chicago, IL",,Illinois,no,Chicago,African-American,,,https://wvon.com
WZZA,Radio,Radio/Podcast,"1570 Woodmont Drive, Tuscumbia, AL, 35674",34.7080127,-87.692645,"Tuscumbia, AL",,Alabama,no,Tuscumbia,African-American,"Leonard Skipworth, sales@wzzaradio.com",Sales manager,http://wzzaradio.com/
Z-Twins Radio,Radio,Radio/Podcast,"2600 S Jackson St, Seattle, WA 98144",47.5994643,-122.2984323,"Seattle, WA",,Washington,no,Seattle,African-American,"Malika Bennett, m.bennett@ztwins.com, (360) 718-7009","Regional VP, Advertising & Sales",https://www.ztwins.com
Zethiopia,"Digital, Newspaper (monthly)",Digital,"P.O. Box 2049, Fairfax, VA 22031",38.864187,-77.2577571,"Fairfax, VA",,"Washington, D.C.",yes,"Washington, D.C.",Ethiopian,"Dereje Desta, dereje@zethiopia.com",Editor,http://www.zethiopia.com/
Madison365,Online aggregator,Digital,"P.O. Box 842, Madison, WI 53701",43.05350653,-89.45428649,"Madison, WI",,Wisconsin,yes,Wisconsin,Multicultural,"Robert G Chappell, rchappell@madison365.org, 16083347829",Executive Editor,madison365.org
Black Millionaires,Social Media/Facebook,Digital,"3949 Holcomb Bridge Road, Suite 301, Norcross, GA 30092",33.96517947,-84.25524556,"Norcross, GA",,Georgia,no,Georgia,"Black Millennials,","James Hill, support@black-millionaires.com, 404-242-3506",Founder & CEO,www.black-millionaires.com
Baltimore Beat,Newspaper,Newspaper,"2209 Maryland Avenue, Baltimore, MD 21218",39.31473018,-76.6177818,"Baltimore, MD",,Maryland,no,Baltimore,Multicultural with a focus on Baltimore’s Black population.,"Lisa Snowden, Lisa@baltimorebeat.com",Editor-In-Chief,https://baltimorebeat.com/
HYFIN,Radio,Radio/Podcast,,43.02851564,-87.91262166,"Milwaukee, WI",,Wisconsin,yes,"Milwaukee, Wisconsin; Nationwide",African American women 29-44,"Tarik Moody, tarik@radiomilwaukee.org",Program Director,https://hyfin.org/
BlackAmericaWeb.com,Digital,Digital,"13760 Noel Road, Ste. 750, Dallas, TX 75240",32.93520946,-96.81686271,"Dallas, TX",,Texas,no,National,African-American,(972) 371-5882,,https://blackamericaweb.com/
BlackPressUSA,Digital,Digital,"1816 12th Street, NW 2nd Floor, Washington, DC 20009",38.91502811,-77.02842396,"Washington, DC",,"Washington, D.C.",no,National,African-American,202.588.8764,,https://blackpressusa.com/
PowerPointe,"Digital, Digital (video)",Digital,"Bossier City, LA",32.53082569,-93.65038286,"Bossier City, LA",,Louisiana,yes,National,"Dancers, Dance Enthusiasts","Kenya Fountain, details@powerpointe.net","Founder, Dance Journalist, Digital Host",https://www.powerpointe.net
Ethiopique,Digital,Digital,,38.9,-77.04,"Washington, D.C.",,"Washington, D.C.",yes,Nationwide,Ethiopian and Eritrean Americans,"Henok Mengistu, admin@ethiopique.com, (347) 325-4928",Founder,www.ethiopique.com
BlackUSA.News,Online,Digital,"1142 N. Carrollton Avenue, Baltimore, MD 21217",39.3021224,-76.6376546,"Baltimore, MD",,Maryland,no,Nationwide,African American,"Doni Glover, doni@bmorenews.com, 443-858-2685",Publisher,https://blackusa.news/
The Educator's Room,Online,Digital,,33.7501,-84.38,"Atlanta, GA",,Georgia,yes,Atlanta,African American,"Franchesca Warren, fran@theeducatorsroom.com",Founder,www.theeducatorsroom.com
Senegambia Parrot,Online,Digital,"2019, Blackrock Avenue, Suite 3, Bronx, NY 10274",40.8285351,-73.8557504,"Bronx, NY",,New York,no,New York,African Immigrants and Black Americans,"Mutiu Olawuyi, senegambiaparrot@gmail.com, 7188225555",CEO/Chief Editor,https://senegambiaparrot.com
BMORENews.com,Online,Digital,1142 N. Carrollton Avenue,39.3021224,-76.6376546,"Baltimore, MD",,Maryland,no,Baltimore,African American,"Doni Glover, doni@bmorenews.com, 443-858-2684",Publisher,https://bmorenews.com/
AtlantaFi.com,Online aggregator,Digital,"245 N. Highland Ave., Ste 230 Atlanta, Ga. 30307",33.761663,-84.3597287,"Atlanta, GA",,Georgia,no,Atlanta,African American,CJ Johnson cj@atlantafi.com 6785251696,Co-Founder,https://atlantafi.com/
Lowcountry Panorama,Newspaper,Newspaper,"2346B Two Notch Road, Columbia, SC 29204",34.0251484,-81.011246,"Columbia, SC",,South Carolina,no,"Charleston, SC",African-American,"Nate Abraham, NateAbraham@CarolinaPanorama.com",Publisher,www.LowcountryPanorama.com
Muslim Community Report (Muslim Parrot),Newspaper and Online,Newspaper,"2000 Westchester Ave, Bronx, New York 10462",40.8333986,-73.8575204,"Bronx, NY",address from Linkedin,New York,yes,New York City and Nationwide,Muslim Community,"Sheikh Musa Drammeh, muslimmediacorporation@gmail.com, 7188225555",Publisher,muslimcommunityreport.com
NolaFi.com,Online aggregator,Digital,"245 N. Highland Ave., Ste 230 Atlanta, Ga. 30307",33.761663,-84.3597287,"Atlanta, GA",,Georgia,no,,African American,CJ Johnson cjohnson@nolafi.com 6785251696,Co-Founder,https://nolafi.com/
Parkchester Times,Newspaper and Online,Newspaper,"Blackrock Ave., Bronx New York",40.8289059,-73.8514938,"Bronx, NY",,New York,yes,New York,Diverse and multicultural Bronxites and New Yorkers,"Mutiu Olawuyi, senegambiaparrot@gmail.com, 7188225555",Chief Editor/CEO,parkchestertimes.com
The Community Times,Newspaper,Newspaper,"P.O. Box 4197, Florence, SC 29502",34.1955465,-79.8024289,"Florence, SC",,South Carolina,yes,Eastern South Carolina,African-American,dsmith7716@aol.com,Editor,https://communitytimessc.com/
